500 116.4
600 148.2
700 192.4
800 234.6
900 202.8
1000 236
1100 268.6
1200 325.4
1300 370
1400 645.6
1500 733.6
1600 636.2
1700 550
1800 437
1900 554.6
2000 764
2100 613.8
2200 641
2300 700
2400 800.4
2500 1203.8
2600 1055.6
2700 1668.6
2800 1233.8
2900 1566.2
3000 1973
3100 1089.2
3200 1198
3300 831.2
3400 850.2
3500 993.6
3600 911
3700 1022.6
3800 1002.2
3900 1054.6
4000 1044.8
4100 1066.2
4200 1164.4
4300 1275
4400 2636.2
4500 1857.8
4600 1388
4700 1735.8
4800 1684.8
4900 1632
5000 1555.4
5100 1732.2
5200 3261.2
5300 2680.2
5400 1776.8
5500 1700.8
5600 1788
5700 1829.6
5800 1859.4
5900 1901.4
6000 2313.4
6100 2341
6200 2286.4
6300 2180
6400 2217
6500 1754.8
6600 2036.2
6700 1969.4
6800 1901.2
6900 1910
7000 1824.6
7100 2107.6
7200 2073.4
7300 2161
7400 2168.6
7500 2090.2
7600 2107
7700 2359
7800 2788.2
7900 2318.2
8000 2246.4
8100 2240
8200 2378
8300 2881.8
8400 8259.4
8500 3110.4
8600 2488.2
8700 2442.8
8800 2606.4
8900 2706.6
9000 3134.8
9100 3031
9200 2907.8
9300 2751.4
9400 2892.6
9500 3040.2
9600 3107.6
9700 3247.4
9800 3190.6
9900 2995
10000 3185.6
