500 36.8
600 45
700 54.2
800 70.6
900 66.8
1000 95
1100 97.8
1200 111
1300 109.6
1400 111.2
1500 134.2
1600 133.2
1700 161.8
1800 149
1900 148.8
2000 184.6
2100 199.2
2200 190.2
2300 210.4
2400 208.2
2500 207
2600 216.6
2700 222.4
2800 305.4
2900 278.2
3000 280.4
3100 294
3200 311.6
3300 306.2
3400 303
3500 302.6
3600 304.6
3700 385.4
3800 374.4
3900 385.8
4000 435
4100 427.8
4200 441.4
4300 458.6
4400 479.6
4500 594.2
4600 543.6
4700 541.6
4800 528.8
4900 619.8
5000 558
5100 552.8
5200 532.6
5300 546.4
5400 562
5500 618.6
5600 612.4
5700 610.6
5800 663.6
5900 653.6
6000 681.8
6100 888
6200 889.8
6300 693.2
6400 719.2
6500 765.8
6600 797.2
6700 822.4
6800 812
6900 854.2
7000 844
7100 809.4
7200 828.2
7300 774.2
7400 806.6
7500 804.8
7600 865.2
7700 853.4
7800 950.4
7900 1001.6
8000 1001.4
8100 1057.4
8200 998.8
8300 1003.4
8400 1083.2
8500 1083
8600 1125.8
8700 1573.6
8800 1251.2
8900 1153.6
9000 1172.2
9100 1178.4
9200 1152.4
9300 1131.2
9400 1132.4
9500 1213.4
9600 1239.2
9700 1209
9800 1212.6
9900 1251.8
10000 1244.4
